t1:ϵ_t1:ϵ,t1:ϵ_t2:ϵ,t1:ϵ_t3:ϵ,t2:ϵ_t1:ϵ,t2:ϵ_t2:ϵ,t2:ϵ_t3:ϵ,t3:ϵ_t1:ϵ,t3:ϵ_t2:ϵ,t3:ϵ_t3:ϵ
0.5395749219239936,0.07271178705543606,0.06842058037636857,0.07271178705543604,0.5411303963181212,0.1249427951426135,0.06842058037636858,0.1249427951426135,0.5911220099778052
0.5423814138005582,0.07546887259134304,0.130256036089972,0.07546887259134305,0.45882280930922337,0.1262744177446543,0.130256036089972,0.1262744177446543,0.6638038609916902
0.5825817117971588,0.08869602300535594,0.1008024994261637,0.08869602300535594,0.45939242920681356,0.13041970193623595,0.10080249942616372,0.13041970193623592,0.6666546920425797
0.569425447071974,0.08311915088915842,0.077128901748726,0.08311915088915843,0.4162056004080271,0.13343181313190822,0.07712890174872601,0.13343181313190822,0.672025007559622
0.5306647173111257,0.08205222722270505,0.11272074847324859,0.08205222722270505,0.4371075680690094,0.16015004342720773,0.11272074847324859,0.16015004342720773,0.8019743198893767
0.4977698787762649,0.132203947491465,0.14988733136798799,0.132203947491465,0.4366410092525012,0.2171381315841759,0.14988733136798799,0.2171381315841759,0.9218953249305873
0.4732393657750792,0.12433152343200428,0.14390511864975164,0.12433152343200429,0.457413361524125,0.2348992524682967,0.14390511864975167,0.2348992524682967,0.9281248770055137
0.5016857677725659,0.14117625144011034,0.1836825992863792,0.14117625144011034,0.4702273975130661,0.2397464179824825,0.1836825992863792,0.2397464179824825,1.0424441930941915
0.5254412373785242,0.1569392612211423,0.19576597175598948,0.1569392612211423,0.4542591848456591,0.24637307805815606,0.19576597175598945,0.24637307805815606,1.043030673299824
0.4992474543682082,0.20705411247656066,0.2240933189926007,0.2070541124765607,0.44938841917926026,0.2382576285846742,0.22409331899260068,0.2382576285846742,1.115969591068095
0.43255799944160356,0.21496855637207468,0.20930559613670296,0.21496855637207474,0.46971950019416964,0.2506154153236488,0.20930559613670302,0.2506154153236488,1.1173029036415059
0.42342298166540254,0.22972492557979066,0.1912453953309165,0.22972492557979063,0.4722757453652576,0.28045693913866515,0.1912453953309165,0.28045693913866515,1.1426296974944647
0.4276241832320508,0.22661884592107395,0.1853551041911963,0.226618845921074,0.5043590884484561,0.24253914221649275,0.1853551041911963,0.24253914221649275,1.0648609152572561
0.3729547757296163,0.23651571219391218,0.15985936119615515,0.2365157121939122,0.5347131218233233,0.28191726156326397,0.15985936119615515,0.28191726156326397,1.056714556694808
0.379947196510775,0.2134226774888796,0.17619124514127477,0.2134226774888796,0.543113520300182,0.25673697291922803,0.17619124514127482,0.2567369729192281,1.124197866991748
0.4155542362938311,0.20920872051073963,0.19553702569814424,0.20920872051073963,0.5534118545347784,0.22113255633655252,0.19553702569814418,0.22113255633655252,1.0832030019226604
0.4422484297213355,0.1885966268614663,0.22753959899755383,0.1885966268614663,0.5821322109246388,0.25091546018938204,0.22753959899755383,0.25091546018938204,1.1464693569838769
0.4781751864477357,0.1911172507658118,0.2324964543650156,0.19111725076581182,0.5595171988718295,0.2685688683234324,0.23249645436501562,0.2685688683234324,1.040022414111055
0.4295386455887206,0.19645541889305004,0.23527934819019425,0.19645541889305004,0.6070191267839943,0.3579476768666087,0.23527934819019425,0.3579476768666087,1.0173183540864381
0.4605229964984627,0.1892341230913697,0.2853281867541601,0.18923412309136967,0.6003936459043845,0.3414241257830076,0.2853281867541601,0.3414241257830076,1.0659690994385445
0.4898601455519125,0.18488485732658252,0.27521344282944704,0.18488485732658255,0.6447447766251189,0.45372377925822766,0.2752134428294471,0.45372377925822766,1.10652418164279
0.49229221059366834,0.14899141893887818,0.25991629856223253,0.1489914189388782,0.5680995499490415,0.3354189095865726,0.2599162985622326,0.3354189095865726,1.0480225890961763
0.5214852415131316,0.11221054087209953,0.2158553384546622,0.11221054087209953,0.5688313969696335,0.31329132152708605,0.2158553384546622,0.31329132152708605,1.0450846756319458
0.5440613462507015,0.0739667111800969,0.21011072936851827,0.07396671118009689,0.5277484441133209,0.2555245946355806,0.21011072936851827,0.2555245946355806,0.9186503628601007
0.4866587008178348,0.10631612371535079,0.21341322129943896,0.10631612371535079,0.5591526959967559,0.3124055217289415,0.213413221299439,0.3124055217289415,0.954132943937915
0.4842084417373471,0.07630540666589193,0.23824432017482172,0.07630540666589193,0.5672981591597177,0.35748980817495835,0.23824432017482167,0.3574898081749583,1.1003019406603962
0.47317950855973107,0.04826738699838487,0.1969374569233201,0.04826738699838488,0.5412165594630276,0.30720317047651186,0.19693745692332007,0.30720317047651186,0.9799591332842347
0.4446495791842887,0.0993942520498605,0.2066791966287515,0.0993942520498605,0.5315829551278105,0.270873863408521,0.2066791966287515,0.27087386340852104,0.8477156343510307
0.4046016956966894,0.11652460041288659,0.23859440184401778,0.11652460041288658,0.4584185688823945,0.2300297885036372,0.23859440184401778,0.2300297885036372,0.84607809091072
0.45232839612961373,0.12184078451396654,0.23498789517564245,0.12184078451396654,0.47162826484424913,0.1917978533713398,0.23498789517564242,0.1917978533713398,0.9011911820958944
0.415464002893042,0.11746499182581842,0.21716718366394078,0.11746499182581843,0.4977749507238771,0.15653890424634972,0.21716718366394075,0.1565389042463497,0.8840825697496068
0.44692827342761987,0.10344522974792003,0.22699920106083468,0.10344522974792003,0.410933275087226,0.13404663778292808,0.22699920106083468,0.13404663778292808,0.8231024384055391
0.4722317840567946,0.11486335075843918,0.2059860290939776,0.11486335075843916,0.42668407619665494,0.1573634649033977,0.20598602909397756,0.1573634649033977,0.7738820112444806
