Covariance,Estimate,SD
t1:ID_t1:ID,0.45264215957708315,0.07040060657621627
t1:ID_t2:ID,0.08827399985058171,0.03261112492933395
t1:ID_t3:ID,0.06689762216883885,0.032459483460877014
t1:ID_t1:dam,-0.17501631318773447,0.06640399845881179
t2:ID_t1:ID,0.08827399985058172,0.032611124929333934
t2:ID_t2:ID,0.29721452826784517,0.05480046951165614
t2:ID_t3:ID,0.06895090510408673,0.0210461485173848
t2:ID_t1:dam,0.04353959270074241,0.017214277736988737
t3:ID_t1:ID,0.06689762216883885,0.03245948346087703
t3:ID_t2:ID,0.06895090510408676,0.02104614851738472
t3:ID_t3:ID,0.20319035363064736,0.04490039997438641
t3:ID_t1:dam,0.04715666432498389,0.02006205909972775
t1:dam_t1:ID,-0.17501631318773447,0.06640399845881174
t1:dam_t2:ID,0.043539592700742404,0.01721427773698878
t1:dam_t3:ID,0.047156664324983895,0.020062059099727705
t1:dam_t1:dam,0.33069748431866036,0.05713758132254657
