π,Estimate,SD
"[1.0, 1.0, 1.0]",0.17425381180195054,0.2975939737396715
"[0.0, 0.0, 0.0]",0.43154711603720153,0.26151129089316316
"[0.0, 0.0, 1.0]",0.01463571836634327,0.01264178671444909
"[1.0, 1.0, 0.0]",0.10871764859908728,0.14246432645775708
"[0.0, 1.0, 1.0]",0.03688446655925535,0.030075720337777858
"[1.0, 0.0, 0.0]",0.054558514579918053,0.03760134338057498
"[1.0, 0.0, 1.0]",0.015867450404649455,0.014932026423913617
"[0.0, 1.0, 0.0]",0.16353527365159437,0.08720921336359191
