t1:ID_t1:ID,t1:ID_t1:dam,t1:dam_t1:ID,t1:dam_t1:dam
0.48564756,0.16991945,0.16991945,0.51842237
0.4973143,0.13128532,0.13128532,0.45703486
0.4618381,0.11217514,0.11217514,0.41889757
0.40354094,0.09132025,0.09132025,0.40195462
0.3544131,0.0807555,0.0807555,0.386024
0.34851786,0.060012747,0.060012747,0.41652617
0.26633018,0.03406512,0.03406512,0.38745922
0.2755869,0.021030305,0.021030305,0.3455156
0.24180791,-0.0021089301,-0.0021089301,0.3581696
0.27153844,-0.028255863,-0.028255863,0.34878284
0.2635625,-0.010626107,-0.010626107,0.34330416
0.2653276,-0.0106781535,-0.0106781535,0.29992968
0.24775127,-0.012088792,-0.012088792,0.2911494
0.23956776,-0.0059878426,-0.0059878426,0.29933482
0.21360455,0.009810289,0.009810289,0.27939743
0.20418458,0.014987406,0.014987406,0.29163763
0.20293844,0.001344671,0.001344671,0.2996064
0.20786244,-0.022221807,-0.022221807,0.32106555
0.2097455,-0.027306708,-0.027306708,0.2984652
0.19951406,-0.037911367,-0.037911367,0.30395237
0.16595912,-0.040201213,-0.040201213,0.31185207
0.17061473,-0.03518236,-0.03518236,0.2913825
0.18323402,-0.030948114,-0.030948114,0.31528288
0.18871033,-0.022207791,-0.022207791,0.33754763
0.18034932,-0.047089256,-0.047089256,0.35344863
0.18000913,-0.03741927,-0.03741927,0.33474514
0.16667709,-0.052705016,-0.052705016,0.31918746
0.19132213,-0.073282205,-0.073282205,0.33284938
0.20438859,-0.07189463,-0.07189463,0.34177423
0.1937592,-0.0780017,-0.0780017,0.2914797
0.18696073,-0.07529046,-0.07529046,0.2931946
0.177423,-0.07699791,-0.07699791,0.27403972
0.19070081,-0.0814761,-0.0814761,0.26935875
0.19988064,-0.08559569,-0.08559569,0.2834174
0.20419121,-0.08935937,-0.08935937,0.2740638
0.20114207,-0.05938321,-0.05938321,0.24085678
0.21681991,-0.055847928,-0.055847928,0.23421118
0.20397177,-0.048177317,-0.048177317,0.21374154
0.17913018,-0.05758766,-0.05758766,0.2515836
0.18803713,-0.057309873,-0.057309873,0.27245316
0.18391779,-0.07709138,-0.07709138,0.25385183
0.1692117,-0.062310603,-0.062310603,0.24689907
0.15344799,-0.054485966,-0.054485966,0.24169642
0.1689301,-0.06686417,-0.06686417,0.2529375
0.18853572,-0.070935965,-0.070935965,0.27084744
0.17211495,-0.060631365,-0.060631365,0.276645
0.16089216,-0.052067537,-0.052067537,0.27112794
0.16732231,-0.052567944,-0.052567944,0.2532785
0.1775978,-0.034482844,-0.034482844,0.24290608
0.18296516,-0.04186919,-0.04186919,0.2237501
0.18656783,-0.025472153,-0.025472153,0.21397924
0.183561,-0.030607713,-0.030607713,0.19520928
0.19742996,-0.046120822,-0.046120822,0.18817134
0.1720014,-0.038310852,-0.038310852,0.19013092
0.17542586,-0.038136717,-0.038136717,0.21302469
0.16846737,-0.016734945,-0.016734945,0.21057242
0.17710786,-0.008831971,-0.008831971,0.21162836
0.18139897,-0.0026084527,-0.0026084527,0.19177681
0.18774506,0.0040705856,0.0040705856,0.18502125
0.19731951,0.015250473,0.015250473,0.1918134
0.18195653,0.026889607,0.026889607,0.19838618
0.16818748,0.02299354,0.02299354,0.19571765
0.17287093,0.020023946,0.020023946,0.19736558
0.15670934,0.026442025,0.026442025,0.21675944
0.15472071,0.04240235,0.04240235,0.21627086
0.15435435,0.023517668,0.023517668,0.20531689
0.16006437,0.02284577,0.02284577,0.20697656
0.15382996,0.036134046,0.036134046,0.22888139
0.14916086,0.025831673,0.025831673,0.23060256
0.17191769,0.031545762,0.031545762,0.22583482
0.178658,0.0376791,0.0376791,0.21342091
0.17739291,0.025555192,0.025555192,0.21385188
0.18347442,0.032030515,0.032030515,0.21184865
0.1725103,0.01549959,0.01549959,0.19297774
0.17359515,0.026359271,0.026359271,0.19516703
0.17714986,0.041790538,0.041790538,0.20378333
0.18024725,0.05436185,0.05436185,0.1999005
0.16632138,0.04552249,0.04552249,0.18980284
0.16642025,0.04620026,0.04620026,0.1775022
0.15646595,0.040703833,0.040703833,0.19175845
0.17091963,0.06238496,0.06238496,0.21018016
0.17408226,0.05673736,0.05673736,0.20416363
0.1829937,0.048373237,0.048373237,0.19394289
0.15709461,0.03538712,0.03538712,0.16570193
0.15314086,0.03301585,0.03301585,0.14977986
0.14037059,0.03017773,0.03017773,0.14650278
0.14387065,0.03293684,0.03293684,0.15409635
0.14147161,0.039672676,0.039672676,0.14760639
0.14769739,0.04700665,0.04700665,0.14219211
0.14205506,0.039088387,0.039088387,0.1473158
0.1348881,0.03733348,0.03733348,0.14418702
0.1469965,0.03257666,0.03257666,0.1668952
0.14104638,0.018876309,0.018876309,0.15764599
0.14636698,0.024410713,0.024410713,0.16903605
0.14230809,0.025976028,0.025976028,0.18211107
0.13426323,0.021637248,0.021637248,0.1861525
0.12519975,0.026741398,0.026741398,0.19817437
0.13537893,0.0024012919,0.0024012919,0.18246341
0.13875678,0.008046935,0.008046935,0.16982289
0.15056682,0.023497172,0.023497172,0.18610966
