x1	x2	x3	x4	x5
-0.8119879781752759	-0.237399641898891	1.2513605232660017	0.34026178771297044	0.1734542842785466
-1.3230681837888103	0	0	0	0
0	-1.3171470016920885	0	-1.981359825411605	0.588813037008368
-0.9378592712683114	0	0.5003003175559875	0	0
-0.17137475038904765	0	0	-0.194564153915513	0.853300834928269
0	0	1.900629970479937	0	-2.6867736804703544
0	0	0	0	0
-1.141725617509855	0	0	0	0
0	0	0	0	0
-0.603094592260505	0	0	0	0.5654493074575446
0	0	0	0	0
0	0	0	0	0
-0.6136386356690553	-1.5305811680012709	0	-1.2669272867543595	-0.29169534259054414
0	-1.2753855077096494	-0.011249629662321237	-1.364453009631349	0
0	0	1.3671828617549373	-3.42665415989664	0
0.8280478415661422	0.7738188998241665	0	0	0.22724789182847366
-1.312220422993601	-2.3434570458444863	0	0.7367877636359504	0
-0.9108369763355709	1.9823038590378865	1.4368366520751314	0	0
0	0	0	0	0
0	0	0.9870014724499787	-2.8297738660219687	0
-0.5616770696959198	0	-0.17754287311856456	0	0.06008965878157013
0	0	1.4716079938020026	0	0
-1.3336930778462277	-1.2435314979690053	0	-0.3898255712304441	0.5562915796777179
3.30990559425119	0	0	0	-0.5345345278831242
0	-0.31491642879546394	0	-3.614146030973023	0
0	0	0	0	-0.3121698829436094
-1.4234770805312438	0.9909868848517228	1.5927958467173025	0	0
0	-2.624939282359393	0	-2.156358481182743	0
0	0	0	0.39015361558764505	-1.3103192351420885
-0.9929254798709836	0	0	0	0
0	-0.1747396973329528	0	-0.26043854447855597	1.5621319107786262
-1.5606570086121998	0	0	1.7020697188618408	0
-0.727243910186041	0	0.804477535267466	-0.1805665321882608	0
0	1.0627738699862763	1.8819862165147967	-1.0176144115197137	0
-0.5271689771563108	-0.11703204720311444	0.44061662222972486	-0.11399298259348623	0.9089034381608163
-1.8700545724656985	0	0	0	1.570488840768394
0	0	0	0	0
0	0.2970117918508708	0	0	1.9709681919129678
0.015727997623264378	-1.4992797624610528	0.9137787187001392	-1.4530962692061058	1.8701778844125236
0	1.2176025846646188	0	0.6300242189173703	0.7526713741692328
0	-1.28948873650156	0	0	0
-1.3587821909165132	-0.603781593095666	0.004803910951144408	1.218265381187862	0
0	0	0	0	0
0	0	0	0	0
0	0	0	0	0
-1.0991198779692803	-1.5869357380665372	-1.5189311172978872	0.6490950695850531	2.3360914291129276
-1.0330350632084662	-1.3657604350496926	0	0	0
-0.46044998192726017	1.6076300952623221	1.4596849418371403	-0.8384936902407931	2.45032262188079
0	0	1.3022813848596102	-1.1520887859646725	0
0	0	0	-2.1092018094411884	0
