Covariance,Estimate,SD
t1:ID_t1:ID,0.27452785626527954,0.057114825137783806
t1:ID_t2:ID,0.13293368467847283,0.05545998868079018
t1:ID_t3:ID,0.06889019874195816,0.06236425727986149
t1:ID_t1:dam,-0.05701429652912507,0.03626514966597655
t2:ID_t1:ID,0.13293368467847286,0.05545998868079012
t2:ID_t2:ID,0.4943000179623399,0.06401993669980008
t2:ID_t3:ID,0.14773359721813095,0.031753596024969216
t2:ID_t1:dam,0.019422605747943127,0.037782171005708416
t3:ID_t1:ID,0.06889019874195818,0.06236425727986147
t3:ID_t2:ID,0.14773359721813095,0.03175359602496916
t3:ID_t3:ID,0.4147346677849284,0.0402650161182289
t3:ID_t1:dam,0.016745009406269887,0.03989283912638893
t1:dam_t1:ID,-0.05701429652912507,0.036265149665976534
t1:dam_t2:ID,0.01942260574794312,0.037782171005708416
t1:dam_t3:ID,0.016745009406269887,0.03989283912638892
t1:dam_t1:dam,0.2645740355632264,0.059464078407755916
