x1	x2	x3	x4	x5
0	-.04021566877786879	0	.12328140355493825	-.08563648596419304
.0202938151146425	0	0	.10752422559245586	.06902801552638192
0	0	0	0	0
0	0	0	0	0
.0030326384986764376	0	-.0465162403920626	-.12917531018745793	0
0	-.13699095253684768	0	0	0
0	0	0	0	0
.060672387837241215	-.017653738069985575	.20344363249301298	-.07008505609254788	0
0	0	0	.0065041634003333414	0
-.10150283832093882	-.1820722482485945	0	.023902711972613545	.12127065798533265
-.07820458683057319	0	-.01970161451886634	.08086527645081547	-.03187594306354541
-.217237165395622	.18804560008765459	.14933066771192188	0	-.09912296168523829
0	-.0274228005485515	0	0	0
0	-.11291501037493812	.00942574238461853	.17161140124565813	0
-.044562459760559954	-.042669605237328705	-.02716320693708834	0	-.11181503585532232
0	-.1286463839221993	0	0	-.0011433401364516343
0	0	.035277417652677404	0	.19600272589464607
0	0	0	0	.058464403739093423
0	.1395905098944957	.22454286607112203	0	-.014054846882442538
0	-.25848988671251716	0	0	0
0	0	.04445112600010705	0	0
-.07436388359061909	0	0	0	.1452179228378651
0	.020701160370143516	0	0	.14069946005835443
.1887289502679117	-.17744326318177997	0	-.08911504543534396	0
.10814660837292064	0	.12891693059098977	.03258706709960145	0
-.3107205918991273	0	0	.09419599710415619	.018327576212112083
0	0	-.034917329865475376	-.26561620670168823	-.13448616142441167
0	-.0025439292679347372	-.0285638645821574	.017063009221358165	.10161472308578223
.005788487535112439	-.11826142891215416	0	0	.10831861228890385
.046734022553639024	-.13994166722776383	0	-.1090419963506377	0
.02196379120089246	-.12754203509516743	0	0	0
-.07500782320533034	0	-.05112892429564806	0	.2897390191014162
0	-.03631943143735034	0	0	.014124098500411042
-.18477342863602045	-.05646306272169718	.06255711093275872	.10900553587541961	0
.012507492916570238	0	0	.034002923387848626	0
0	0	0	0	.0090693268794996
-.25353488500764976	.08503376451174242	0	.10881092232740307	.1361987177629354
-.22414943818849842	.09820411588536453	.20989443222800963	0	0
0	0	0	.0032734768193796934	-.01651624151382007
.006723842083325132	0	.24314918820740927	-.014789166642992018	0
.0023234838125598817	.026869074332826336	.037490119650689754	0	0
.14216524780509848	0	.1406637901073898	-.018583873746947824	0
.017292325235068465	0	-.029142213940229443	0	0
-.14299715927310983	0	-.08549649246245106	.07324589176367713	.16406128074868184
0	-.014075610927824299	0	0	0
-.010644242328137432	-.13942069466178167	.00413129790508443	.2429334681467994	-.06211864786007929
-.011732531422607094	.07956415485317217	0	.11794907215067502	.16225360307171152
.09621278979075697	0	-.03254205765740179	.053117929590038686	0
0	-.028364887015890322	0	0	.1350655444937249
-.008833470253098781	0	0	.017318747470183225	0
