ID,EBV,PEV
0,0.13955601189425704,0.028335958916907503
678,-0.3885547811992043,0.48403454929531975
728,-0.4658725242941891,0.357531466583317
2284,-0.5245321503230127,0.453335456202779
817,0.5302122009983339,0.45073035380147736
2611,0.22293837913064593,0.20116907992865213
684,0.04996584450118844,0.6497094192685324
674,0.14031322390739484,0.4412457031347133
2281,0.46690802518416347,0.4163616569146109
366,0.04465574160231092,0.5903955268185037
368,-0.15666051073977016,0.5038516030871629
1369,-0.2630113053146722,0.4230548002028312
355,-0.034219514570521345,0.5101038475561525
364,0.2496089208527855,0.6151082498402564
1367,0.1154719711130053,0.5912652234157634
1417,-0.17390851065735224,0.24995125084936343
322,-0.018851876054924544,0.5278206821269761
328,0.055240271446788565,0.5192484340683895
1338,-0.009924178296462315,0.5352009904881897
323,-0.02951389821228581,0.4413602153499398
327,0.12420232589175019,0.6978894876158356
1336,-0.0051849797073877536,0.6955012569034957
1342,-0.10267567217866067,0.5207791140319136
371,0.11483080944268194,0.5304422493410768
1396,-0.05814308449105072,0.535438542728983
1480,-0.24579695836045232,0.2069960359899325
438,-0.1625091623287121,0.6824765728749957
431,-0.10746542071705507,0.6022511401176005
1467,-0.36616929729847064,0.4160068483350358
2039,-0.6740262179187746,0.2906126989688442
350,0.2419565693024065,0.8413117333697119
349,0.2866665555880651,0.6058607357425159
1357,0.32362351975186343,0.6320236592539467
353,0.12908362386259628,0.68912877553022
361,-0.2997886461559035,0.5385471128586935
1361,0.06789617020507924,0.5355207052594103
1409,0.5227445715629997,0.23617259925113124
346,0.08680089404875777,0.4783222993620017
338,0.13333431911830365,0.7116724948652192
1347,0.09428235959111111,0.5666473951784405
333,0.2156197354463727,0.5492349479209564
329,0.12539215182506666,0.5719142015533716
1339,0.2985958200386516,0.6077902181636187
1390,0.2862458832161206,0.4603554483697423
1462,0.6714633191654691,0.21166937915279324
448,0.24969543826650764,0.6253127486601362
451,0.2991051720994387,0.7380864518788236
1486,0.5762636862245464,0.6188355288967091
2045,0.5989478096877596,0.38980762336861496
2139,0.11672545305190027,0.2245839681022109
2643,0.8410077894079255,0.2803654774200936
3266,0.8535951395012131,0.21538940252637725
337,-0.05562928373226432,0.5977872362046082
1349,-0.19323931373455705,0.45844809107551915
356,-0.12702400944444028,0.6549737128262231
352,0.0312197306507242,0.5847537401963591
1358,-0.16861229223645924,0.6086018334858991
1406,-0.3793217023053795,0.2693944390356754
445,0.030635030478009275,0.5637472860353019
1469,-0.45539036567038826,0.4255110391026231
403,0.1377435608041961,0.5264524323879156
411,0.11810005812709397,0.7439218311762325
1423,-0.02525009770842416,0.5769148472582603
387,-0.08581125972740714,0.6180697667661186
375,0.10615671943945001,0.4882526954036971
1402,-0.05043062700402072,0.5793825769068401
1492,-0.2829485371872712,0.40186920295046824
2063,-0.8281510554792854,0.3280369944036705
2220,-0.7803359431214659,0.3187144808504457
362,-0.23475407484293978,0.6416048944524945
1366,-0.11123752316855703,0.613931026632129
339,0.2857203285551438,0.6455887423196217
1348,0.12798106880022328,0.407388684322959
1412,0.011148390627166412,0.3471566295176576
372,-0.09057184366512697,0.592215470966212
369,0.03410353704107576,0.6323189274317369
1370,-0.05150017827001853,0.5581245284120344
1478,-0.011392822908145807,0.2635495607964496
354,-0.4142558728752014,0.5205944434989619
344,0.04437082306201952,0.7431375264799112
1359,-0.224082942984006,0.6556959173801792
343,0.10204237669542568,0.7128405557366738
332,-0.003100307589153797,0.5046629030009476
1344,0.08473275048536344,0.6660429082522731
1408,-0.04305014794453374,0.3721405156769414
386,0.18767233492873822,0.6392958086845022
374,0.05057272827743893,0.6548417765221447
1398,0.05803392782488725,0.5460607052660746
1472,-0.10260770272471104,0.43158543546931766
2032,0.0041241439156768445,0.3277839148359974
722,-0.07341251721056119,0.41699578378076896
2349,-0.05950135352139968,0.37879778695632743
2595,-0.7455720305829403,0.21426565828646457
741,-0.27579066402521213,0.54502767363254
753,-0.20140373677960546,0.5360191152662117
2320,-0.6088245316213907,0.2449817460318253
690,0.3336801787146256,0.639291961923034
715,0.11421497818365792,0.6288591565689244
2259,0.2654270024670352,0.3793396709683395
2905,0.03315505746402415,0.2333444356869407
3551,-0.36498079201535805,0.3786284204441155
