t1:ϵ_t1:ϵ,t1:ϵ_t2:ϵ,t1:ϵ_t3:ϵ,t2:ϵ_t1:ϵ,t2:ϵ_t2:ϵ,t2:ϵ_t3:ϵ,t3:ϵ_t1:ϵ,t3:ϵ_t2:ϵ,t3:ϵ_t3:ϵ
0.45047895052693254,0.1443750559983733,0.13003521081898145,0.1443750559983733,0.5837799416360888,0.1561831723638654,0.13003521081898142,0.1561831723638654,0.5156454751718514
0.48536475823210457,0.11494050939217679,0.12868839921815856,0.11494050939217679,0.4946143501880312,0.1073348928156943,0.12868839921815856,0.1073348928156943,0.5300977380760248
0.4647765081321531,0.11305499880905959,0.10667042719594384,0.1130549988090596,0.5112450670246479,0.07303583769012655,0.10667042719594383,0.07303583769012653,0.518468999194403
0.39712254177070017,0.08685822642255409,0.12429831352170685,0.08685822642255409,0.5257118119561399,0.08085765772307256,0.12429831352170685,0.08085765772307256,0.6311303777266866
0.40126151249140146,0.053620668759294096,0.15151270452035737,0.053620668759294096,0.4471035983947039,0.04186554838023035,0.15151270452035734,0.04186554838023035,0.649650898272636
0.3715345887284502,0.07227700278570899,0.17502384650489114,0.07227700278570899,0.5152713039518161,0.08142811073665539,0.17502384650489114,0.08142811073665539,0.7276187843997484
0.393590828763256,0.061938667819436244,0.1740652747117714,0.06193866781943625,0.49941285086193343,0.04359764088855131,0.17406527471177144,0.04359764088855131,0.7021998396594559
0.36819810492257404,0.07336696648748997,0.17437743728974245,0.07336696648748998,0.4846824804725779,0.07661291922223941,0.17437743728974245,0.07661291922223941,0.7591457881225002
0.3729363823088801,0.05854002386140743,0.15778868322091946,0.058540023861407435,0.48230090975970613,0.1069656567548276,0.1577886832209195,0.1069656567548276,0.7514597784731543
0.36504249334753036,0.08191555603794236,0.17838788867149752,0.08191555603794234,0.4068724174986434,0.08768623498849777,0.17838788867149755,0.08768623498849777,0.7514443428531681
0.36911846356540645,0.06702632725261161,0.1517424628929456,0.06702632725261162,0.4330532144277091,0.0495904704547967,0.1517424628929456,0.0495904704547967,0.7036295457894128
0.3485295039871904,0.0320389050474621,0.1595921866744334,0.032038905047462096,0.43921831373022124,0.0428539731462596,0.1595921866744334,0.0428539731462596,0.7408203208510517
0.31495176668222996,0.031134304657735846,0.1340020316237455,0.03113430465773585,0.39385865810173626,0.044395700671167514,0.1340020316237455,0.0443957006711675,0.8751153847523416
0.28843019470251535,0.048404110271981396,0.16137754620251213,0.048404110271981396,0.38408787226138386,0.07262943129194535,0.16137754620251213,0.07262943129194535,0.97857768960645
0.3083390281519056,0.031727960465421964,0.1568450605284057,0.03172796046542196,0.3731717469567445,0.08808850361167779,0.1568450605284057,0.0880885036116778,0.9207464884576593
0.313060740576294,0.03588525926661993,0.1435672570572389,0.03588525926661992,0.35821383642425714,0.13721401765112096,0.1435672570572389,0.13721401765112096,0.9758232370626327
0.2998574991582413,0.02588418991546659,0.11049574591427919,0.025884189915466593,0.33643974914106434,0.17182878491340414,0.11049574591427921,0.17182878491340414,1.0387988611663908
0.33614182532776027,0.028526054436407204,0.1304437507035709,0.02852605443640721,0.35088760973959365,0.1303858011230883,0.13044375070357087,0.1303858011230883,0.9384682661214401
0.2900339026931528,0.039812011000583764,0.1215924767681772,0.039812011000583764,0.3951875376128893,0.20414558361553367,0.1215924767681772,0.20414558361553367,0.9583749149428556
0.29781937069909226,0.03614927651444764,0.0846025473721568,0.036149276514447645,0.40974583349510374,0.22007816016786053,0.08460254737215682,0.22007816016786053,0.8772838723368537
0.2751738510274976,0.03719801772436731,0.11404514907564685,0.0371980177243673,0.38346064727224377,0.20483965477145655,0.11404514907564682,0.20483965477145655,0.9666459601791542
0.2797346805690774,0.04783374788614559,0.10302279466343765,0.04783374788614559,0.426759625715257,0.19479632052062967,0.10302279466343765,0.19479632052062967,0.9113343366828647
0.2528559152685243,0.04137945886494425,0.0515015326622621,0.04137945886494424,0.431027714816528,0.1546540700544965,0.051501532662262095,0.1546540700544965,0.8792599010352222
0.23802216330289713,0.012332860674777553,0.01490549526763202,0.012332860674777553,0.46467712833905356,0.15030716666856642,0.01490549526763202,0.15030716666856642,0.9125214087755448
0.2707822468559186,0.0024106060195493466,0.019767838292729347,0.0024106060195493466,0.476731204176148,0.14682421410482702,0.01976783829272935,0.14682421410482702,1.015927324559144
0.27016399618836606,0.007644485421853777,-0.014319201494694286,0.007644485421853777,0.43653236360781356,0.12753267369977106,-0.014319201494694284,0.12753267369977106,0.9818770631439968
0.25012963182294495,0.022272330674768175,0.007467777896214347,0.022272330674768172,0.39053439616299834,0.1414804105801767,0.007467777896214346,0.1414804105801767,0.9655347218927495
0.2463640032946676,0.013588990911992381,0.029637748949393576,0.013588990911992381,0.3694459962785047,0.12564896784976926,0.029637748949393573,0.12564896784976926,0.9884626510263312
0.264678130100174,0.037330380619176054,0.03635474179006275,0.03733038061917606,0.3396085147401166,0.08501890733816699,0.03635474179006275,0.08501890733816699,0.9644515973733897
0.28087689258943466,0.07608032219510237,0.08084498247006604,0.07608032219510238,0.3944236484433076,0.16960818596899757,0.08084498247006604,0.16960818596899757,0.9607179598861169
0.2844183774477088,0.07714608684321472,0.11396428239924414,0.0771460868432147,0.42435613586180765,0.18211501734126762,0.11396428239924412,0.18211501734126762,1.0763189017503094
0.27982702727289277,0.07563820974782041,0.10020808575669286,0.07563820974782043,0.3805518677256807,0.1379275097454863,0.10020808575669286,0.1379275097454863,1.1930809530678166
