Covariance,Estimate,SD
t1:ID_t1:ID,0.19760471533406004,0.07236341158850935
t1:ID_t2:ID,-0.021949885231026856,0.031040332434379012
t1:ID_t3:ID,0.02217298337494719,0.027262910585553385
t1:ID_t1:dam,-0.041879001158099186,0.03975674818766672
t2:ID_t1:ID,-0.021949885231026856,0.031040332434379016
t2:ID_t2:ID,0.4008604160907425,0.05347187664636409
t2:ID_t3:ID,0.02434095793182632,0.029537516900680263
t2:ID_t1:dam,0.1351948172975977,0.03060020543812359
t3:ID_t1:ID,0.02217298337494719,0.027262910585553385
t3:ID_t2:ID,0.02434095793182632,0.029537516900680263
t3:ID_t3:ID,0.3002160089251442,0.04896446357839806
t3:ID_t1:dam,0.08546361879143952,0.023769372209606874
t1:dam_t1:ID,-0.04187900115809919,0.03975674818766671
t1:dam_t2:ID,0.1351948172975977,0.030600205438123647
t1:dam_t3:ID,0.08546361879143952,0.023769372209606874
t1:dam_t1:dam,0.2731964765101918,0.06605645990933082
