m1	m2	m3	m4	m5
0.43459768897399825	-0.6806664308625691	0	-0.2640157212251302	0
0	-0.4924799910626312	-0.5401316055087827	-0.3953414398785325	0
0.43060296075050997	0	0	0	-0.12331297332014074
0	0	0	0	0
0.9363026349914707	0	-0.39654697096382974	0.10465645841548624	0
0	0.9521168638091286	-0.5064708164344348	0.7379857720736416	0
0	-0.5946938780048638	0	0.21800886465116667	-0.7203625790360261
0	-0.4614090863570214	0	-0.04870509729550285	0
0.3936279645879562	0.2653849364246518	-0.4714882202607695	-0.7725901479080985	0.9333565127426598
-0.1704448477129734	0	-0.3739068647844483	0.1859496029173004	-0.05504855233464828
0	-1.1089689181707034	0	0	0.6649980252943974
0.1862022530085524	0	0	0	0
1.3928298840647435	0	0	0	-1.4599795277369312
0	0	0	0	0
0	-0.0960951336653574	-0.16584658329240642	0.1907796952148315	0
0.7978013988776932	-0.36351214112189106	-0.7197388759693039	0	1.568286008620135
0	-0.6209154450959234	0	0	0
0	0	0	0.5866526699847088	-0.04868888844974044
0	-1.047913086207235	0	0	-0.14904149384017834
0	-1.5881477980233911	0.3147314917862925	0.25510179558169715	-1.1778746705879737
0.7418591108777286	0	-0.1966131754664573	0	0
0	-0.662077496259084	0	0.16929063288428578	0.2222713526078073
-0.5554341601450508	-0.3894426252884307	-0.9617753502898942	-0.25302503206020854	0.03585217856946499
0.2978241258704172	-0.4397217891306194	-0.6052433031127497	0	0
0	-0.20910908286993463	-0.4902063062757175	0.01661768970270472	0.08868782919187303
0	0	-1.2711687455644962	0	0.3398612414200186
-0.0039810322618325025	0	0	0	0
0.6013142254031021	0.4521487631537818	0	0	-0.027153008141401036
0	0	0	0	-0.35323742466025854
0	-0.6995779633380776	0	-0.5536555586117097	-0.5754263435304814
-0.07894752662880629	-1.6910625168935414	0	0	0
0	0	0	0	0
0.3082106481605269	-1.1864474524186	-0.12017997784412701	-0.6368992748317502	0
0	0.012644470022975363	0	-0.00028278179639842915	0
-0.27870991774754417	0	-0.5535892853035624	-0.9143063028680936	-0.5366047742036107
0	-0.8594133754372655	0	0	-0.4727130366318718
0	-0.9609936163447454	0	0	0
0	0.32714566149703656	-1.419753778157577	0.10853576596516662	0
0	0	-0.2961373405278427	0	0
0	-1.0381628185525584	0	0	-0.2982468849259892
0	0	0	0	0
0	0.6705116893397141	0	0.06708338849752796	0
0.5793692934174832	-0.3490634492189203	0.15470346783180447	0	0
0.8752159770743336	0	0	0	0
0.6239403975547894	0.4674058297542204	-0.9097540287651189	0.35902888215586626	0
0	-1.5912107775458435	0	0	-1.9337686091207567
0.5814565718057902	-0.3252915852850581	0	0	0
0	-0.28785691273482017	0.018873915706604974	0	-0.1180302838193803
0	-0.29589694288336826	-0.04294623262506134	0	0
0	0	0	-0.10811402431645281	-0.06165311262669787
