Covariance,Estimate,SD
t1:ID_t1:ID,0.24341728873261323,0.038042489773872264
t1:ID_t2:ID,-0.005145502073360069,0.04387272072864549
t1:ID_t3:ID,0.07933090429601673,0.021111453203775152
t1:ID_t1:dam,-0.03456861436587509,0.03986218177144094
t2:ID_t1:ID,-0.005145502073360073,0.04387272072864548
t2:ID_t2:ID,0.44454774822291726,0.0788680265133985
t2:ID_t3:ID,0.05652912109735528,0.031201725450425728
t2:ID_t1:dam,0.09202166296400324,0.052608535704400564
t3:ID_t1:ID,0.07933090429601673,0.021111453203775173
t3:ID_t2:ID,0.05652912109735527,0.03120172545042574
t3:ID_t3:ID,0.23280837796278975,0.0725218603586536
t3:ID_t1:dam,0.038248151006221004,0.0297978599701651
t1:dam_t1:ID,-0.03456861436587509,0.03986218177144095
t1:dam_t2:ID,0.09202166296400326,0.052608535704400564
t1:dam_t3:ID,0.038248151006221004,0.0297978599701651
t1:dam_t1:dam,0.25529627977975516,0.055621249405251996
