π,Estimate,SD
"[1.0, 1.0, 1.0]",0.4241973668865895,0.32556568665887636
"[0.0, 0.0, 0.0]",0.038106412761489274,0.041373704301117115
"[0.0, 0.0, 1.0]",0.08137051641622697,0.06465684367706087
"[1.0, 1.0, 0.0]",0.2492006196774713,0.1431156901541957
"[0.0, 1.0, 1.0]",0.018287523788331744,0.016627197205107795
"[1.0, 0.0, 0.0]",0.10981665621592555,0.08234756615171425
"[1.0, 0.0, 1.0]",0.03758748834218823,0.033077761676003396
"[0.0, 1.0, 0.0]",0.04143341591177737,0.03032693994470363
