t1_t1,t1_t2,t1_t3,t2_t1,t2_t2,t2_t3,t3_t1,t3_t2,t3_t3
0.9451342880089773,-0.035608597199621575,-0.004854333017366846,-0.035608597199621575,0.615079154402842,-5.848393802640067e-5,-0.004854333017366846,-5.848393802640067e-5,0.5475707565837794
0.958336811523388,-0.012980934778460735,-0.06724933820050605,-0.012980934778460735,0.6458859119974694,-0.04090318884129191,-0.06724933820050605,-0.04090318884129191,0.5135192478178215
1.0326046000768085,-0.03356818426734984,-0.018567876542064488,-0.03356818426734984,0.6278508823719735,-0.03749577712989615,-0.018567876542064488,-0.03749577712989615,0.5150943232934758
0.9658268952554904,-0.04775263321528757,0.00305578303124246,-0.04775263321528757,0.6750266353501015,-0.006091341433961711,0.00305578303124246,-0.006091341433961711,0.510892918053914
0.9528608572506578,-0.042175853078280694,-0.03761393560113055,-0.042175853078280694,0.6758705957814208,-0.05740791659844174,-0.03761393560113055,-0.05740791659844174,0.483458562452604
0.9253165348258595,-0.05951692573230008,-0.022202013726697726,-0.05951692573230008,0.6726727972332857,-0.0638524055864928,-0.022202013726697726,-0.0638524055864928,0.5389970487955708
0.9777460978867045,-0.05069262924804667,-0.03789352307431675,-0.05069262924804667,0.6488458892820594,-0.06879151227465918,-0.03789352307431675,-0.06879151227465918,0.4871772027701042
0.9863766446862341,-0.03290622415312775,-0.018494675271546215,-0.03290622415312775,0.6541739751585472,-0.07424624022680867,-0.018494675271546215,-0.07424624022680867,0.515213121679852
1.0621225939054009,-0.0709400824947846,-0.010256114717036063,-0.0709400824947846,0.679309665658634,-0.06136266052351104,-0.010256114717036063,-0.06136266052351104,0.49851531488628387
1.1117469686253731,-0.05919191230556246,0.01662715489519809,-0.05919191230556246,0.7018098705597725,-0.032322726209822635,0.01662715489519809,-0.032322726209822635,0.5309148700082926
1.1149309390726758,-0.04623158645413581,0.028343649616623175,-0.04623158645413581,0.6860075018373644,-0.055676703450254904,0.028343649616623175,-0.055676703450254904,0.5395285043826669
1.1255843318447774,-0.052538687105739904,-0.008585433662968203,-0.052538687105739904,0.6575608396512194,-0.07587023202792248,-0.008585433662968203,-0.07587023202792248,0.5122057473895618
1.1956578387642136,-0.04348334482354375,-0.015167367338938524,-0.04348334482354375,0.6849523445525725,-0.03866097993512261,-0.015167367338938524,-0.03866097993512261,0.5150463419786888
1.078389630348691,-0.0552734638319954,-0.04746755010599353,-0.0552734638319954,0.6700461376183509,-0.011223770490195946,-0.04746755010599353,-0.011223770490195946,0.5281111344827746
1.1330568229098321,-0.10791139899083181,-0.053232836791822766,-0.10791139899083181,0.6749919675914393,-0.05884691331771149,-0.053232836791822766,-0.05884691331771149,0.5322442925334069
