Covariance,Estimate,SD
t1:ID_t1:ID,0.34727485733433267,0.043533680978476104
t1:ID_t2:ID,0.07272504364423096,0.023670912522403872
t1:ID_t3:ID,0.06652610458998102,0.03393462040835757
t1:ID_t1:dam,-0.08649276521428237,0.05205333438069295
t2:ID_t1:ID,0.07272504364423096,0.023670912522403838
t2:ID_t2:ID,0.42624233072952883,0.05227772740999341
t2:ID_t3:ID,0.0888886361228913,0.032500442268370046
t2:ID_t1:dam,0.1160201634813615,0.026789253690995694
t3:ID_t1:ID,0.06652610458998102,0.03393462040835757
t3:ID_t2:ID,0.0888886361228913,0.032500442268370046
t3:ID_t3:ID,0.4047693525100699,0.09250100500943001
t3:ID_t1:dam,0.042557316457033416,0.03335470327674353
t1:dam_t1:ID,-0.08649276521428235,0.05205333438069299
t1:dam_t2:ID,0.11602016348136147,0.02678925369099579
t1:dam_t3:ID,0.042557316457033416,0.03335470327674354
t1:dam_t1:dam,0.30446887268342854,0.04699960865766508
